NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,place,State,Year
"Sail Harbor CDP, Connecticut",143,51.4,2.98,13,29,109,0,81,74,69,9,16,0,7,48,48,0,48,0,869600,-666666666,48,0,0,48,37,30,0,48,250001,135014,0,37,0,143,37,0,30,37,09,66113,Connecticut,2022
"Salmon Brook CDP, Connecticut",2184,52.6,1.91,381,594,2071,8,16,1087,1097,59,25,36,22,1134,1094,40,907,187,286500,850,794,156,7,1134,632,597,40,1094,77500,49216,28,1187,147,2090,1127,67,863,1112,09,66455,Connecticut,2022
"Sandy Hook CDP, Connecticut",9604,44.4,2.78,1188,2121,8007,286,657,4912,4692,178,101,280,146,3661,3456,205,3272,184,434400,1612,3370,196,44,3661,2498,1920,205,3456,148750,69858,299,5520,439,9604,5221,144,4145,5069,09,66700,Connecticut,2022
"Saugatuck CDP, Connecticut",2999,49.9,2.32,272,699,2394,39,284,1507,1492,38,24,22,41,1294,1261,33,934,327,1241700,2031,937,137,120,1294,652,483,33,1261,199196,143166,121,1620,49,2924,1485,12,1089,1486,09,66770,Connecticut,2022
"Saybrook Manor CDP, Connecticut",1231,52.5,2.13,260,226,1107,0,272,496,735,0,0,7,19,1191,578,613,452,126,445500,2554,936,55,0,1191,268,188,613,578,110526,51689,33,781,5,1231,748,0,642,748,09,67050,Connecticut,2022
"Sharon CDP, Connecticut",403,68.4,1.29,9,224,343,0,0,148,255,0,0,4,9,381,298,83,189,109,275200,-666666666,225,152,4,381,71,71,83,298,153431,136692,5,204,0,385,199,0,165,199,09,67890,Connecticut,2022
"Shelton city, Connecticut",41206,44.6,2.58,6845,7617,31190,1953,4991,19585,21621,1243,379,1326,461,16400,15774,626,12379,3395,410400,1539,10529,2049,672,16400,8057,6887,626,15774,112366,54444,1262,22974,2255,40778,21586,275,18762,21420,09,68100,Connecticut,2022
"Sherman CDP, Connecticut",33,32.4,1.50,0,23,33,0,0,11,22,0,0,11,0,22,22,0,10,12,-666666666,-666666666,22,0,0,22,0,0,0,22,-666666666,63712,0,23,0,33,23,0,23,23,09,68240,Connecticut,2022
"Sherwood Manor CDP, Connecticut",5731,40.5,2.59,1240,561,4267,386,841,2939,2792,189,35,241,74,2246,2208,38,1777,431,230200,1662,1589,188,14,2246,1119,959,38,2208,98980,40506,154,3330,422,5725,3163,59,2824,3139,09,68450,Connecticut,2022
"Simsbury Center CDP, Connecticut",6110,46.1,2.33,443,1779,5559,47,425,2974,3136,132,30,78,41,2621,2544,77,1856,688,350000,1904,1804,130,53,2621,1227,988,77,2544,120435,59932,169,3374,465,6034,3205,23,2408,3194,09,69010,Connecticut,2022
"Somers CDP, Connecticut",2231,38.3,2.48,271,397,1707,0,115,973,1258,92,14,72,30,899,899,0,782,117,335700,881,725,27,23,899,651,560,0,899,79952,41583,0,1035,59,2231,1035,0,868,1026,09,69150,Connecticut,2022
"South Coventry CDP, Connecticut",1468,56.5,2.23,257,220,1339,0,0,578,890,20,0,17,22,665,648,17,528,120,313900,868,499,18,0,665,236,207,17,648,100145,46518,16,588,138,1468,572,13,534,572,09,69990,Connecticut,2022
"Southport CDP, Connecticut",1515,56.2,2.11,101,391,1425,12,22,638,877,6,45,18,32,783,719,64,602,117,885100,3121,446,117,19,783,338,241,64,719,156406,124911,46,872,133,1515,826,0,524,815,09,71040,Connecticut,2022
"South Wilton CDP, Connecticut",1428,47.8,2.37,195,314,1048,120,17,716,712,18,23,40,0,686,602,84,442,160,719100,-666666666,338,93,25,686,270,179,84,602,132381,98900,24,881,56,1428,857,0,614,857,09,71215,Connecticut,2022
"South Windham CDP, Connecticut",1412,40.1,2.68,295,102,1235,11,185,723,689,46,9,27,8,575,518,57,349,169,185500,1125,440,0,59,575,151,148,57,518,69327,34225,8,655,256,1411,647,6,600,639,09,71250,Connecticut,2022
"Southwood Acres CDP, Connecticut",7928,42.2,2.38,1534,1430,6694,328,1036,3831,4097,346,42,364,125,3383,3332,51,2916,416,234900,1622,3019,273,0,3383,2146,1830,51,3332,101939,45992,148,4789,524,7928,4630,23,3715,4365,09,71460,Connecticut,2022
"South Woodstock CDP, Connecticut",1418,31.8,2.01,145,68,1304,0,0,728,690,79,54,97,0,744,702,42,357,345,262200,1110,302,74,11,744,325,306,42,702,75763,41187,76,1055,15,1418,979,0,930,979,09,71530,Connecticut,2022
"Stafford Springs CDP, Connecticut",4890,43.3,2.37,1262,554,4590,3,376,2273,2617,192,14,164,54,2254,2056,198,1339,717,203200,1050,1146,151,228,2254,794,712,198,2056,68929,34841,166,2505,442,4868,2339,19,2031,2260,09,72300,Connecticut,2022
"Stamford city, Connecticut",135413,37.6,2.50,16291,27645,70482,25207,40385,66112,69301,4220,1516,5364,1670,57319,53520,3799,24644,28876,584700,2129,18875,4297,5000,57319,16882,13818,3799,53520,100718,60109,4379,80277,13561,133989,75860,1193,63752,74194,09,73000,Connecticut,2022
"Staples CDP, Connecticut",7200,49.0,2.78,521,1962,5960,41,703,3730,3470,126,164,33,122,2702,2580,122,2380,200,1163100,2324,2446,113,19,2702,1415,1151,122,2580,213158,118179,162,3155,476,7169,2993,11,2086,2979,09,73175,Connecticut,2022
"Stepney CDP, Connecticut",3674,50.7,2.41,548,784,3496,24,65,1948,1726,72,26,117,23,1682,1519,163,1393,126,425600,2061,1225,131,69,1682,953,654,163,1519,137226,66241,100,2168,182,3674,2068,46,1873,2068,09,73280,Connecticut,2022
"Stonington borough, Connecticut",942,58.3,1.67,64,178,861,12,56,449,493,8,6,13,24,789,563,226,298,265,757800,1408,329,17,84,789,153,128,226,563,84583,105580,29,471,62,942,419,15,315,442,09,73700,Connecticut,2022
"Storrs CDP, Connecticut",17606,20.4,2.07,182,650,12916,672,1100,7951,9655,8,3202,160,68,2514,2241,273,814,1427,311400,1615,818,217,8,2514,412,331,273,2241,27793,14547,949,7562,2071,4630,6613,40,3323,5909,09,73980,Connecticut,2022
"Stratford Downtown CDP, Connecticut",1949,45.9,2.54,437,291,1589,222,38,1054,895,32,0,89,0,844,766,78,540,226,269800,1228,448,29,99,844,281,266,78,766,71364,39269,116,944,128,1930,828,34,785,825,09,74303,Connecticut,2022
"Suffield Depot CDP, Connecticut",1886,54.6,2.57,205,348,1712,110,99,1002,884,21,0,0,50,817,717,100,527,190,378200,1292,578,56,0,817,351,338,100,717,83926,51785,199,1348,176,1886,1149,12,908,1149,09,74655,Connecticut,2022
"Taylor Corners CDP, Connecticut",566,46.0,2.93,120,38,492,0,47,248,318,3,13,11,0,193,193,0,165,28,393600,-666666666,193,0,0,193,88,40,0,193,59395,26505,47,279,201,566,232,8,204,232,09,75065,Connecticut,2022
"Tariffville CDP, Connecticut",1803,37.9,2.81,302,305,1564,0,99,925,878,17,67,60,0,688,641,47,398,243,256900,1224,359,34,47,688,261,183,47,641,83607,37875,187,1271,217,1781,1084,94,987,1033,09,75100,Connecticut,2022
"Tashua CDP, Connecticut",3404,47.0,3.15,234,888,2706,55,92,1667,1737,129,34,61,9,1118,1079,39,1033,46,617400,2714,985,18,0,1118,695,594,39,1079,168646,77941,70,1546,189,3361,1476,12,1218,1439,09,75116,Connecticut,2022
"Terramuggus CDP, Connecticut",778,51.5,2.47,119,235,753,13,0,357,421,0,0,14,15,315,315,0,253,62,339700,-666666666,304,0,0,315,139,67,0,315,133482,56838,19,458,9,778,439,0,260,404,09,75200,Connecticut,2022
"Terryville CDP, Connecticut",4998,39.9,2.39,1328,369,4677,1,479,2470,2528,66,44,142,38,2446,2084,362,1413,671,213100,1130,1527,8,279,2446,1080,956,362,2084,69444,38268,161,2934,566,4992,2773,23,2515,2697,09,75240,Connecticut,2022
"Thomaston CDP, Connecticut",2087,47.9,1.97,697,300,1665,107,116,1097,990,93,17,61,91,1231,1059,172,598,461,229700,890,586,64,74,1231,389,389,172,1059,71301,39700,50,1021,129,2069,971,23,883,953,09,75660,Connecticut,2022
"Thompsonville CDP, Connecticut",8097,35.0,2.39,1677,925,5314,535,1424,4098,3999,365,107,584,66,3485,3261,224,1421,1840,219000,1347,1177,158,846,3485,916,756,224,3261,57662,32465,718,4099,2265,7892,3381,89,3083,3297,09,75940,Connecticut,2022
"Tokeneke CDP, Connecticut",2575,41.0,3.36,11,775,2263,16,252,1339,1236,82,0,13,40,825,766,59,720,46,2000001,2350,806,0,10,825,485,397,59,766,250001,179043,59,1033,196,2575,974,26,746,963,09,76150,Connecticut,2022
"Topstone CDP, Connecticut",178,47.9,3.12,10,74,178,0,0,85,93,0,0,0,0,57,57,0,42,15,641300,-666666666,57,0,0,57,29,21,0,57,139219,46912,0,65,29,178,65,0,54,65,09,76400,Connecticut,2022
"Torrington city, Connecticut",35510,40.8,2.37,8040,3981,25744,3697,6219,17355,18155,1067,497,1147,517,16920,14645,2275,9373,5272,180800,1086,9072,669,2618,16920,6050,5083,2275,14645,66616,34516,1135,19445,5076,34751,18310,402,16786,17910,09,76500,Connecticut,2022
"Trumbull Center CDP, Connecticut",10335,41.6,3.07,1355,2434,7655,275,585,5207,5128,406,101,328,103,3649,3302,347,2647,655,439100,1934,2698,63,106,3649,1927,1542,347,3302,120952,45008,406,4922,562,10222,4516,62,3936,4462,09,77278,Connecticut,2022
"Wallingford Center CDP, Connecticut",18738,39.7,2.25,3817,2901,14618,317,3997,9197,9541,543,217,810,172,8466,8107,359,4970,3137,281300,1172,3927,567,1308,8466,3260,2661,359,8107,83618,44067,609,10377,1795,18373,9768,302,8742,9638,09,78880,Connecticut,2022
"Waterbury city, Connecticut",114480,36.7,2.45,24629,7494,51376,32046,41055,55072,59408,3801,1760,3865,1122,50593,45968,4625,20151,25817,162800,1140,19519,2112,6595,50593,13366,11428,4625,45968,51451,28723,5506,56231,24638,112426,50700,2159,46794,49828,09,80000,Connecticut,2022
"Waterford CDP, Connecticut",3276,45.2,2.11,739,293,2720,137,156,1472,1804,37,25,47,35,1589,1496,93,1026,470,222100,1438,955,106,69,1589,601,535,93,1496,74701,41727,140,1725,241,3170,1569,18,1462,1556,09,80210,Connecticut,2022
"Watertown CDP, Connecticut",3765,43.6,2.36,437,750,2808,180,285,1860,1905,0,44,174,66,1676,1556,120,989,567,263000,1007,926,145,359,1676,561,437,120,1556,67252,37847,81,2002,754,3765,1910,30,1717,1895,09,80420,Connecticut,2022
"Wauregan CDP, Connecticut",1396,33.4,2.88,290,151,737,74,391,632,764,112,0,57,7,554,479,75,272,207,221400,845,293,26,106,554,232,200,75,479,81964,30063,17,776,324,1396,759,99,681,749,09,80630,Connecticut,2022
"Weatogue CDP, Connecticut",2671,40.4,2.39,159,872,2433,32,206,1356,1315,100,4,119,37,1167,1111,56,915,196,367700,1953,792,171,50,1167,597,530,56,1111,154716,85915,11,1487,3,2656,1476,3,1176,1476,09,80770,Connecticut,2022
"Westbrook Center CDP, Connecticut",2317,51.2,1.88,453,409,1676,54,312,1270,1047,33,16,187,20,1705,1189,516,633,556,463400,1284,1209,39,0,1705,272,212,516,1189,69544,56164,49,1351,123,2296,1302,70,1146,1270,09,81750,Connecticut,2022
"West Cornwall CDP, Connecticut",54,43.8,2.08,3,18,54,0,0,21,33,0,5,4,0,37,26,11,13,13,321400,-666666666,34,0,3,37,10,7,11,26,103333,87065,0,36,20,54,36,0,28,36,09,82030,Connecticut,2022
"West Hartford CDP, Connecticut",64088,39.7,2.39,4862,14797,48085,4896,8597,30379,33709,1727,638,1975,636,27499,26100,1399,17905,8195,370500,1608,17783,1060,1481,27499,11227,9419,1399,26100,124150,67164,1384,35735,3729,62860,34227,517,27799,33756,09,82660,Connecticut,2022
"West Haven city, Connecticut",55336,36.1,2.53,10983,5573,31247,9822,14801,27144,28192,1153,1391,2131,346,21892,20405,1487,10625,9780,247800,1322,10075,610,2747,21892,7324,5778,1487,20405,72827,34740,2322,29517,5812,51614,27195,1133,24669,26403,09,82800,Connecticut,2022
"West Mountain CDP, Connecticut",423,41.5,2.96,26,99,423,0,0,224,199,16,15,19,0,218,143,75,143,0,870800,-666666666,218,0,0,218,103,71,75,143,250001,161079,0,225,38,423,225,0,225,225,09,83045,Connecticut,2022
"Weston CDP, Connecticut",797,47.9,2.73,11,264,736,23,35,483,314,43,6,1,14,313,292,21,292,0,1005900,-666666666,313,0,0,313,226,152,21,292,250001,138753,0,446,1,797,446,0,274,446,09,83360,Connecticut,2022
"Westport Village CDP, Connecticut",2668,44.0,2.71,107,667,2150,30,127,1405,1263,37,10,61,51,1166,976,190,831,145,1204200,3199,930,0,17,1166,525,402,190,976,215526,127477,93,1350,58,2668,1257,0,895,1257,09,83586,Connecticut,2022
"West Simsbury CDP, Connecticut",2796,57.1,2.78,273,696,2641,7,108,1310,1486,0,30,31,50,882,865,17,775,90,457700,2176,821,20,6,882,505,411,17,865,175045,90143,54,1189,236,2537,1135,0,839,1135,09,83990,Connecticut,2022
"Wethersfield CDP, Connecticut",27192,44.2,2.39,3681,5670,22302,1169,3420,13228,13964,764,219,725,233,11863,11362,501,9114,2248,286000,1244,8941,595,234,11863,5775,5074,501,11362,108656,53729,668,15308,1587,27110,14605,112,12175,14204,09,84970,Connecticut,2022
"Willimantic CDP, Connecticut",17762,30.5,2.26,2712,1306,12118,1444,6367,8557,9205,200,957,470,223,6879,6379,500,2500,3879,173100,1060,2719,252,1006,6879,1522,1262,500,6379,45723,22953,729,8956,3974,14578,8175,372,6952,7348,09,85810,Connecticut,2022
"Wilton Center CDP, Connecticut",1642,50.8,1.99,125,450,1233,21,247,713,929,13,8,8,0,834,812,22,480,332,491000,1415,228,150,32,834,325,197,22,812,130543,111988,21,875,3,1619,854,0,537,842,09,86380,Connecticut,2022
"Windsor Locks CDP, Connecticut",12563,42.0,2.31,2995,1750,9560,790,862,5852,6711,247,131,437,152,5584,5417,167,4327,1090,236200,1303,3899,428,379,5584,2692,2296,167,5417,85570,44568,561,7667,1127,12513,7106,62,6280,6986,09,87140,Connecticut,2022
"Winsted CDP, Connecticut",6880,43.0,2.07,1656,713,5617,339,831,3562,3318,130,88,398,107,3687,3291,396,1595,1696,186700,1118,1451,160,560,3687,1012,949,396,3291,66250,36436,234,3735,1263,6703,3501,117,3279,3402,09,87350,Connecticut,2022
"Witches Woods CDP, Connecticut",397,70.6,2.01,22,11,374,9,0,198,199,0,0,0,22,198,198,0,198,0,435900,-666666666,198,0,0,198,47,47,0,198,250001,108001,11,71,0,397,60,0,46,60,09,87455,Connecticut,2022
"Woodbury Center CDP, Connecticut",1445,56.9,1.77,104,360,1165,173,48,734,711,0,0,78,26,857,817,40,408,409,417100,1689,483,127,48,857,247,101,40,817,89563,59753,86,852,164,1445,660,9,506,749,09,87980,Connecticut,2022
"Woodmont borough, Connecticut",1619,51.0,2.03,158,382,1523,11,82,779,840,4,4,56,50,899,799,100,649,150,420800,2188,663,39,41,899,371,267,100,799,97171,74027,28,986,46,1619,958,8,852,935,09,88050,Connecticut,2022
"Abbeville city, Louisiana",11213,33.1,2.42,2434,628,4738,5145,246,4696,6517,378,154,497,61,5786,4522,1264,2435,2087,98700,749,3687,120,48,5786,854,799,1264,4522,39566,22605,328,4809,3485,11002,4481,13,4186,4390,22,00100,Louisiana,2022
"Abita Springs town, Louisiana",2639,40.1,2.50,357,663,2185,293,192,1173,1466,167,6,85,37,1111,1052,59,884,168,236700,1119,970,57,64,1111,599,512,59,1052,80212,36141,38,1264,198,2635,1204,32,1023,1201,22,00240,Louisiana,2022
"Addis town, Louisiana",6779,30.1,2.70,1087,1152,3401,3243,18,3255,3524,347,0,422,54,2764,2512,252,2076,436,233700,890,1936,66,27,2764,1614,1572,252,2512,101450,37730,67,3637,492,6745,3570,84,3421,3514,22,00415,Louisiana,2022
"Albany town, Louisiana",1140,29.3,2.93,131,144,1138,1,0,485,655,22,10,22,5,486,389,97,248,141,163200,920,259,3,2,486,111,111,97,389,74375,28711,5,474,54,1140,469,6,448,469,22,00835,Louisiana,2022
"Alexandria city, Louisiana",45133,37.4,2.52,8309,4507,17046,25039,1437,21526,23607,1345,515,1426,283,20836,17095,3741,9208,7887,179900,928,14939,461,1135,20836,4744,4383,3741,17095,49049,30457,1548,20845,11216,43678,19191,266,18041,18674,22,00975,Louisiana,2022
"Ama CDP, Louisiana",1392,43.9,2.70,407,83,753,583,56,569,823,99,12,34,11,570,515,55,483,32,183800,-666666666,406,18,0,570,217,196,55,515,49453,26641,42,483,152,1392,441,16,435,441,22,01780,Louisiana,2022
"Amelia CDP, Louisiana",2000,31.7,2.84,369,76,578,149,1103,1044,956,104,64,41,15,845,705,140,468,237,-666666666,872,403,0,0,845,88,88,140,705,45333,17987,69,811,437,2000,742,14,724,742,22,01815,Louisiana,2022
"Amite City town, Louisiana",4033,39.6,2.51,846,173,1346,2399,141,1893,2140,15,38,83,0,1973,1505,468,729,776,130400,-666666666,1584,0,60,1973,203,193,468,1505,42415,22696,59,1638,601,3783,1579,0,1446,1579,22,01885,Louisiana,2022
"Anacoco village, Louisiana",1066,32.5,3.33,250,71,865,89,30,474,592,34,18,42,25,376,320,56,265,55,203000,1021,282,1,5,376,169,164,56,320,70147,28104,17,516,104,1052,491,0,496,499,22,01920,Louisiana,2022
"Angie village, Louisiana",324,32.2,2.84,75,18,124,174,21,98,226,2,4,0,0,139,114,25,75,39,111500,1050,64,0,0,139,18,18,25,114,41250,20011,11,126,153,324,115,1,111,112,22,02165,Louisiana,2022
"Arabi CDP, Louisiana",4296,40.5,2.34,559,394,2918,649,532,2248,2048,151,28,172,64,2124,1831,293,1300,531,201300,939,1554,116,173,2124,695,608,293,1831,49071,31507,210,2101,907,4280,1891,20,1745,1858,22,02550,Louisiana,2022
"Arcadia town, Louisiana",2725,42.1,1.93,924,176,780,1814,0,1141,1584,66,29,118,19,1418,1290,128,755,535,83600,579,1018,0,132,1418,237,204,128,1290,37610,21789,26,986,764,2484,952,95,929,929,22,02655,Louisiana,2022
"Arnaudville town, Louisiana",1522,29.5,2.35,343,30,1206,246,4,822,700,152,39,5,3,740,647,93,370,277,84700,472,458,5,19,740,101,101,93,647,24219,17931,42,600,813,1474,558,7,540,547,22,03110,Louisiana,2022
"Ashland village, Louisiana",155,54.9,1.74,83,18,112,16,0,87,68,0,0,0,4,146,89,57,51,38,116800,850,82,0,0,146,6,6,57,89,41827,33659,4,72,4,155,68,4,68,68,22,03145,Louisiana,2022
"Athens village, Louisiana",282,38.3,2.10,62,18,154,124,0,135,147,10,10,17,4,190,134,56,101,33,85800,-666666666,143,0,0,190,25,25,56,134,27857,19185,1,95,121,282,94,10,82,93,22,03320,Louisiana,2022
"Atlanta village, Louisiana",159,37.0,3.53,54,1,123,33,0,72,87,0,0,3,3,64,45,19,30,15,60000,-666666666,33,0,27,64,6,6,19,45,-666666666,21421,3,70,34,159,67,0,67,67,22,03390,Louisiana,2022
"Avondale CDP, Louisiana",4870,38.2,2.93,981,185,2488,1378,495,2331,2539,94,6,178,58,1811,1662,149,1303,359,123500,1287,1746,36,0,1811,492,428,149,1662,53144,21397,235,2233,986,4790,1998,31,1959,1998,22,03810,Louisiana,2022
"Baker city, Louisiana",12463,32.8,2.92,2522,907,1405,10890,60,5777,6686,263,67,384,71,5058,4227,831,3052,1175,138800,1012,3892,159,138,5058,2172,2087,831,4227,60555,26252,840,6651,2288,12350,5811,45,5536,5676,22,03985,Louisiana,2022
"Baldwin town, Louisiana",2065,37.6,2.76,1039,85,367,1690,0,1115,950,8,0,245,27,971,747,224,367,380,107100,932,705,0,17,971,107,107,224,747,29473,19550,4,529,834,2065,525,0,507,525,22,04020,Louisiana,2022
"Ball town, Louisiana",3926,31.1,2.89,946,338,3463,191,103,2089,1837,230,32,99,75,1458,1329,129,1098,231,177500,966,1127,52,26,1458,623,576,129,1329,76198,32443,116,2059,236,3856,1873,0,1618,1692,22,04055,Louisiana,2022
"Banks Springs CDP, Louisiana",1485,30.1,3.42,477,49,249,1193,43,865,620,40,0,152,0,573,413,160,178,235,52900,380,184,27,103,573,68,68,160,413,24656,16882,129,677,712,1412,548,6,516,516,22,04230,Louisiana,2022
"Barataria CDP, Louisiana",772,49.4,2.60,158,55,702,12,0,407,365,16,0,13,0,446,297,149,287,10,167000,-666666666,423,12,0,446,75,75,149,297,55313,29305,0,241,41,772,241,0,224,230,22,04300,Louisiana,2022
"Basile town, Louisiana",2353,28.3,3.35,373,32,1482,468,227,1110,1243,83,65,57,21,707,578,129,338,240,64700,815,597,0,10,707,135,129,129,578,38500,13696,177,687,417,1937,510,0,480,510,22,04580,Louisiana,2022
"Baskin village, Louisiana",170,48.3,2.51,41,3,139,22,0,93,77,5,0,5,2,85,65,20,49,16,75000,725,38,3,0,85,16,16,20,65,55625,36725,6,65,39,170,59,3,55,57,22,04615,Louisiana,2022
"Bastrop city, Louisiana",9623,33.8,2.63,1597,218,1837,7470,117,4884,4739,422,188,230,67,4420,3548,872,1896,1652,85600,737,3613,69,78,4420,740,720,872,3548,29286,16783,445,3868,3724,9379,3416,203,3258,3349,22,04685,Louisiana,2022
"Baton Rouge city, Louisiana",225500,31.9,2.45,30876,27639,83917,118457,9856,107800,117700,7611,6008,6980,2184,106298,87486,18812,41891,45595,217700,1010,59357,3302,3365,106298,23609,21261,18812,87486,50155,33910,9830,114891,51353,213830,104955,1230,96108,102474,22,05000,Louisiana,2022
"Bawcomville CDP, Louisiana",2654,49.5,2.23,722,73,2193,384,40,1361,1293,22,77,49,0,1841,1188,653,696,492,62500,920,680,10,0,1841,172,172,653,1188,30636,20756,62,1108,906,2654,1046,75,1019,1037,22,05105,Louisiana,2022
"Bayou Blue CDP, Louisiana",11624,32.9,2.88,2610,726,8887,929,881,5389,6235,403,49,338,137,4476,4032,444,3401,631,179600,1091,2881,49,0,4476,1571,1402,444,4032,65954,27151,279,5207,2169,11624,4884,41,4543,4680,22,05175,Louisiana,2022
"Bayou Cane CDP, Louisiana",21142,34.9,2.61,4437,2008,13057,4018,2014,10823,10319,565,202,899,144,8918,7953,965,4597,3356,187000,986,5245,354,352,8918,3048,2822,965,7953,71965,33003,706,11361,3358,20754,10551,124,9976,10343,22,05210,Louisiana,2022
"Bayou Corne CDP, Louisiana",21,-666666666.0,1.91,10,0,21,0,0,11,10,0,0,0,0,11,11,0,11,0,-666666666,-666666666,11,0,0,11,0,0,0,11,-666666666,,0,11,0,21,11,0,11,11,22,05255,Louisiana,2022
"Bayou Country Club CDP, Louisiana",1271,62.0,2.05,197,274,1269,2,19,533,738,11,2,46,56,618,618,0,570,48,294300,-666666666,605,0,13,618,207,159,0,618,105083,49693,0,459,43,1271,459,0,437,457,22,05260,Louisiana,2022
"Bayou Gauche CDP, Louisiana",1480,38.1,3.03,318,133,1480,0,0,791,689,78,0,36,0,514,488,26,466,22,346500,-666666666,435,0,0,514,335,296,26,488,118750,43214,0,861,0,1480,848,0,817,861,22,05315,Louisiana,2022
"Bayou Goula CDP, Louisiana",342,18.3,3.11,23,9,17,325,0,258,84,0,66,0,0,110,110,0,22,88,-666666666,-666666666,88,10,0,110,0,0,0,110,83258,22540,0,154,82,342,154,0,154,154,22,05350,Louisiana,2022
"Bayou L'Ourse CDP, Louisiana",2039,36.0,3.16,445,127,1908,16,164,985,1054,101,32,113,9,699,646,53,587,59,78800,493,264,0,14,699,163,155,53,646,45777,25152,95,806,689,2039,711,17,626,653,22,05378,Louisiana,2022
"Bayou Vista CDP, Louisiana",3953,37.5,2.39,1011,190,3516,52,162,2117,1836,116,99,78,28,1814,1637,177,1251,386,145200,860,1202,0,39,1814,562,471,177,1637,46399,35250,30,1917,706,3953,1887,0,1662,1845,22,05525,Louisiana,2022
"Belcher village, Louisiana",292,39.0,2.58,60,40,244,37,6,134,158,5,2,8,6,116,113,3,100,13,154700,983,78,3,0,116,44,34,3,113,79688,32229,3,120,34,286,117,0,116,117,22,05945,Louisiana,2022
"Belle Chasse CDP, Louisiana",10781,39.2,2.83,2187,1404,8620,1192,721,5236,5545,106,95,291,145,4148,3794,354,2940,854,339100,1494,3233,96,465,4148,1476,1263,354,3794,92059,41226,174,5840,632,10759,5590,119,5492,5584,22,06120,Louisiana,2022
"Belle Rose CDP, Louisiana",2030,49.3,2.52,485,99,712,1220,52,971,1059,0,11,0,38,946,807,139,746,61,210900,1366,677,32,12,946,244,192,139,807,-666666666,37352,75,1102,210,2030,1027,21,1006,1006,22,06260,Louisiana,2022
"Belmont CDP, Louisiana",198,46.9,4.04,69,0,184,0,0,77,121,0,0,0,0,49,49,0,37,12,-666666666,-666666666,26,0,0,49,0,0,0,49,-666666666,19989,12,68,73,198,56,0,56,56,22,06750,Louisiana,2022
"Benton town, Louisiana",2386,38.5,2.60,679,182,1181,694,163,1099,1287,42,11,121,6,1027,916,111,632,284,177600,780,775,15,14,1027,458,382,111,916,70471,31419,24,1179,387,2386,1155,2,1117,1155,22,06925,Louisiana,2022
"Bernice town, Louisiana",1206,40.5,2.13,467,71,302,821,216,582,624,30,33,6,30,694,557,137,296,261,89500,640,479,0,47,694,133,130,137,557,24375,18903,17,486,379,1185,469,29,462,469,22,07030,Louisiana,2022
"Berwick town, Louisiana",4717,34.6,2.71,741,383,3768,588,275,2241,2476,397,74,154,21,1997,1731,266,1323,408,157500,497,1277,0,177,1997,620,522,266,1731,52458,28202,217,2160,1109,4692,1893,46,1924,1931,22,07100,Louisiana,2022
"Bienville village, Louisiana",167,41.2,2.17,67,1,141,15,1,88,79,2,0,15,0,128,77,51,39,38,-666666666,622,82,0,0,128,8,7,51,77,25313,23593,8,73,66,167,65,0,57,62,22,07205,Louisiana,2022
"Blanchard town, Louisiana",3471,35.3,3.03,643,249,3013,316,12,1697,1774,57,46,142,40,1265,1146,119,877,269,188500,1046,987,0,28,1265,576,518,119,1146,88558,35082,99,1682,240,3431,1519,14,1546,1552,22,07730,Louisiana,2022
"Bogalusa city, Louisiana",10689,39.1,2.45,2608,558,5362,4789,585,4900,5789,325,216,112,53,5376,4285,1091,2144,2141,106500,750,4365,11,416,5376,867,829,1091,4285,39213,21349,546,4697,3115,10511,4147,183,4040,4066,22,08150,Louisiana,2022
"Bonita village, Louisiana",218,53.5,2.14,82,5,75,143,0,110,108,5,0,0,4,137,102,35,37,65,51300,640,95,0,0,137,2,2,35,102,23833,12739,2,100,99,211,98,6,91,98,22,08535,Louisiana,2022
"Boothville CDP, Louisiana",585,44.0,2.17,139,0,425,75,0,288,297,37,11,26,0,370,270,100,210,60,-666666666,-666666666,118,0,0,370,69,69,100,270,24722,28358,0,249,190,585,249,0,229,229,22,08710,Louisiana,2022
"Bordelonville CDP, Louisiana",315,49.8,1.98,85,46,250,65,0,94,221,10,0,0,0,209,159,50,121,38,77900,-666666666,173,0,0,209,22,22,50,159,47135,24069,50,127,40,315,77,14,77,77,22,08745,Louisiana,2022
"Bossier City city, Louisiana",62971,35.1,2.52,11155,6629,38279,17634,6403,31329,31642,2256,957,2666,413,27931,24439,3492,13169,11270,187000,1044,19309,1179,634,27931,8728,7861,3492,24439,54100,30737,1547,29802,12490,61339,25249,806,26849,27985,22,08920,Louisiana,2022
"Bourg CDP, Louisiana",2010,46.4,2.55,731,49,1743,0,0,956,1054,0,23,44,20,814,787,27,671,116,173900,-666666666,556,116,0,814,365,319,27,787,97594,40015,8,1061,148,2010,1053,25,924,1039,22,09095,Louisiana,2022
